PTGER3	2	Adenoma	4.28670276470588	4.08890045
POLI	1	Adenoma	5.64030154411765	4.75519798125
MICALL2	2	Normal	7.17634025	7.64157745000001
CLDND2	1	Normal	4.98482441176471	5.07382645625
GEN1	1	Adenoma	5.99004654411765	5.5860945125
SELK	1	Normal	9.97375204411765	10.074003625
CXCR4	1	Normal	7.36052763235294	8.45612825
ARSE	1	Adenoma	8.71177013235294	8.05081760625
TNFAIP3	1	Normal	7.45977464705882	7.64894471875
HIST1H2AG	1	Normal	4.6307644117647	4.804619025
EYA2	1	Normal	4.93936245588235	5.89211974375
SSTR1	1	Normal	4.77666348529412	5.69128284375
APCDD1	1	Adenoma	8.78125351470588	6.75604068125
MPEG1	1	Normal	7.32604195588235	8.145256725
BMPR1A	1	Adenoma	8.21609282352941	8.12771416875
NEK1	1	Adenoma	5.93008977941176	5.82420349375
COX5A	1	Normal	12.0100565147059	12.09969625625
UBA52	1	Adenoma	12.1647405735294	11.8511379
IRF8	1	Normal	8.87191119117647	9.122694425
GLDN	1	Normal	5.16272382352941	7.22406759375
MUC5B	1	Normal	7.42133992647059	7.75619145
TPD52L1	1	Adenoma	7.00395948529412	5.68617776875
MYLK	1	Normal	8.19894252941176	10.61186133125
PBX1	1	Normal	7.77037888235294	8.1973995125
DPP8	1	Normal	8.79756585294118	8.87085539375
ZNF268	1	Adenoma	5.83499410294118	5.66144233125
PRKCD	1	Normal	7.36187060294118	8.08760701875
SPEN	1	Normal	7.16445073529412	7.2960482125
ALOX5	1	Adenoma	8.28017738235294	7.25662213750001
SARDH	4	Normal	5.51250110294118	5.70631665
HYLS1	1	Adenoma	7.48069247058823	7.15593721875
RNF125	1	Normal	6.76899705882353	7.6987373125
MCM3	1	Adenoma	8.92767070588235	7.9793168375
ARHGAP8	1	Adenoma	8.34368698529411	7.51541195
IFI30	1	Normal	9.5625418382353	9.83670456875
ODF2	1	Adenoma	6.7615519117647	6.02414871875
QPRT	1	Adenoma	8.17961552941176	7.5620477625
SLC16A4	1	Adenoma	5.26663882352941	3.97852475625
GOLGA8A	1	Normal	6.44887625	6.98899100625
GREM2	1	Normal	4.00666619117647	5.79761278125
C17orf88	1	Normal	4.81901663235294	5.09021725625
GLS	1	Adenoma	8.02269382352941	7.90466904375
MRPL53	1	Adenoma	8.75902519117647	8.56442590625
CD163L1	2	Normal	6.48258820588235	7.31404265625
SSPN	1	Normal	5.0111385	5.994707025
INPP5F	1	Normal	6.79504797058824	6.8445552
TLR1	1	Normal	4.74405907352941	5.06450201875
RAB28	1	Adenoma	8.28019217647059	8.1413825125
BZW2	1	Adenoma	11.0456561029412	10.3864750625
FANCA	1	Adenoma	5.19600479411765	5.1469837375
SNX18	1	Adenoma	8.29154330882353	8.24351116875001
S100PBP	1	Adenoma	6.85923117647059	6.58282661875
PARP4	1	Adenoma	10.1658637352941	10.01882659375
