name	pValue	fdr
Respiratory electron transport	1.11022302463e-16	4.45199432875e-14
Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	1.11022302463e-16	4.45199432875e-14
The citric acid (TCA) cycle and respiratory electron transport	1.11022302463e-16	4.45199432875e-14
Mitochondrial translation	2.22044604925e-16	6.68354260824e-14
Mitochondrial translation termination	7.77156117238e-16	1.55431223448e-13
Mitochondrial translation elongation	7.77156117238e-16	1.55431223448e-13
Mitochondrial translation initiation	1.44328993201e-15	2.48245868306e-13
Complex I biogenesis	1.14535581019e-09	1.71803371529e-07
Cristae formation	1.67011949825e-08	2.22125893268e-06
Mitochondrial protein import	5.78863574185e-07	6.94636289023e-05
Translation	1.24920997935e-06	0.000136163887749
Mitochondrial calcium ion transport	1.50695145895e-06	0.000150695145895
Peroxisomal protein import	1.70598081095e-06	0.000156950234607
Mitochondrial biogenesis	2.47842391787e-06	0.000213144456937
Formation of ATP by chemiosmotic coupling	1.82547612221e-05	0.00146038089777
Metabolism	0.000155463327066	0.0116597495299
Mitochondrial Fatty Acid Beta-Oxidation	0.000412162461225	0.0288513722858
Pyruvate metabolism and Citric Acid (TCA) cycle	0.000550707188575	0.0363466744459
Processing of SMDT1	0.000769960054172	0.0485074834128
Citric acid cycle (TCA cycle)	0.00136766215358	0.0820597292146
TYSND1 cleaves peroxisomal proteins	0.00169351496698	0.0965303531178
Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization	0.00210794365653	0.113828957453
TP53 Regulates Metabolic Genes	0.00259783417226	0.135087376957
Sulfide oxidation to sulfate	0.0027943266427	0.139716332135
Gluconeogenesis	0.00366515291388	0.172627496417
Defective HLCS causes multiple carboxylase deficiency	0.00375277166124	0.172627496417
Defects in biotin (Btn) metabolism	0.00706628776422	0.310916661626
Degradation of cysteine and homocysteine	0.00743290307365	0.319614832167
Beta-oxidation of very long chain fatty acids	0.0104643737905	0.429039325409
Detoxification of Reactive Oxygen Species	0.0220021847805	0.774514689506
Reversible hydration of carbon dioxide	0.0224083933576	0.774514689506
Release of apoptotic factors from the mitochondria	0.0260966045095	0.774514689506
Peroxisomal lipid metabolism	0.0271964139212	0.774514689506
Biotin transport and metabolism	0.0318013162473	0.774514689506
Formation of annular gap junctions	0.0319382003074	0.774514689506
Sulfur amino acid metabolism	0.0354291705797	0.774514689506
Gap junction degradation	0.0396546785142	0.774514689506
Fatty acid metabolism	0.0447067281945	0.774514689506
Transcriptional activation of mitochondrial biogenesis	0.0479524594638	0.774514689506
Lysosome Vesicle Biogenesis	0.0537856891973	0.774514689506
RUNX2 regulates genes involved in differentiation of myeloid cells	0.0541846588508	0.774514689506
Pyrophosphate hydrolysis	0.0541846588508	0.774514689506
p75NTR negatively regulates cell cycle via SC1	0.0541846588508	0.774514689506
Deletions in the AXIN genes in hepatocellular carcinoma result in elevated WNT signaling	0.0601274821485	0.774514689506
Glutathione conjugation	0.0604174843551	0.774514689506
AXIN mutants destabilize the destruction complex, activating WNT signaling	0.0678102779152	0.774514689506
SeMet incorporation into proteins	0.0678102779152	0.774514689506
Organelle biogenesis and maintenance	0.0704213630842	0.774514689506
RSK activation	0.0889707043443	0.774514689506
