	#Cont	#Expt	#Genes	Condition	GSEID	ROC-AUC	Series	Signature	Species	pvalue
0	60	32	(48)	UC GSE83687	GSE83687	0.17	GSE83687	C13	Hs	1e-06
1	60	32	(137,153)	UC GSE83687	GSE83687	0.26	GSE83687	C14-3	Hs	0.000102
2	60	32	(48,137,153)	UC GSE83687	GSE83687	0.17	GSE83687	C13-14-3	Hs	2.01e-07
0	60	42	(48)	CD GSE83687	GSE83687	0.23	GSE83687	C13	Hs	2.26e-06
1	60	42	(137,153)	CD GSE83687	GSE83687	0.62	GSE83687	C14-3	Hs	0.0428
2	60	42	(48,137,153)	CD GSE83687	GSE83687	0.53	GSE83687	C13-14-3	Hs	0.992
0	7	6	(48)	Normal Surface GSE77953	GSE77953	0.05	GSE77953	C13	Hs	0.0258
1	7	6	(137,153)	Normal Surface GSE77953	GSE77953	0.00	GSE77953	C14-3	Hs	1.54e-05
2	7	6	(48,137,153)	Normal Surface GSE77953	GSE77953	0.00	GSE77953	C13-14-3	Hs	0.000141
0	7	17	(48)	Adenoma GSE77953	GSE77953	0.82	GSE77953	C13	Hs	0.0102
1	7	17	(137,153)	Adenoma GSE77953	GSE77953	0.62	GSE77953	C14-3	Hs	0.522
2	7	17	(48,137,153)	Adenoma GSE77953	GSE77953	0.69	GSE77953	C13-14-3	Hs	0.17
0	7	17	(48)	CRC GSE77953	GSE77953	0.82	GSE77953	C13	Hs	0.00568
1	7	17	(137,153)	CRC GSE77953	GSE77953	0.36	GSE77953	C14-3	Hs	0.625
2	7	17	(48,137,153)	CRC GSE77953	GSE77953	0.45	GSE77953	C13-14-3	Hs	0.747
0	6	6	(48)	Distal/Proximal GSE64658	GSE64658	1.00	GSE64658	C13	Mm	0.00895
1	6	6	(137,153)	Distal/Proximal GSE64658	GSE64658	0.86	GSE64658	C14-3	Mm	0.0213
2	6	6	(48,137,153)	Distal/Proximal GSE64658	GSE64658	0.97	GSE64658	C13-14-3	Mm	0.00375
0	3	3	(48)	Distal/Proximal GSE64423	GSE64423	1.00	GSE64423	C13	Mm	0.16
1	3	3	(137,153)	Distal/Proximal GSE64423	GSE64423	0.56	GSE64423	C14-3	Mm	0.775
2	3	3	(48,137,153)	Distal/Proximal GSE64423	GSE64423	0.78	GSE64423	C13-14-3	Mm	0.322
0	20	26	(48)	OA GSE55235 GSE55457 GSE55584	GSE55235	0.46	GSE55235	C13	Hs	0.542
1	20	26	(137,153)	OA GSE55235 GSE55457 GSE55584	GSE55235	0.32	GSE55235	C14-3	Hs	0.0614
2	20	26	(48,137,153)	OA GSE55235 GSE55457 GSE55584	GSE55235	0.30	GSE55235	C13-14-3	Hs	0.0584
0	20	33	(48)	RA GSE55235 GSE55457 GSE55584	GSE55235	0.04	GSE55235	C13	Hs	4.53e-12
1	20	33	(137,153)	RA GSE55235 GSE55457 GSE55584	GSE55235	0.34	GSE55235	C14-3	Hs	0.0432
2	20	33	(48,137,153)	RA GSE55235 GSE55457 GSE55584	GSE55235	0.26	GSE55235	C13-14-3	Hs	0.002
0	44	104	(48)	NASH GSE83452	GSE83452	0.43	GSE83452	C13	Hs	0.255
1	44	104	(137,153)	NASH GSE83452	GSE83452	0.55	GSE83452	C14-3	Hs	0.376
2	44	104	(48,137,153)	NASH GSE83452	GSE83452	0.55	GSE83452	C13-14-3	Hs	0.455
0	14	16	(48)	NASH GSE126848	GSE126848	0.20	GSE126848	C13	Hs	0.00342
1	14	16	(137,153)	NASH GSE126848	GSE126848	0.54	GSE126848	C14-3	Hs	0.561
2	14	16	(48,137,153)	NASH GSE126848	GSE126848	0.51	GSE126848	C13-14-3	Hs	0.827
0	14	15	(48)	NAFLD GSE126848	GSE126848	0.39	GSE126848	C13	Hs	0.198
1	14	15	(137,153)	NAFLD GSE126848	GSE126848	0.38	GSE126848	C14-3	Hs	0.198
2	14	15	(48,137,153)	NAFLD GSE126848	GSE126848	0.33	GSE126848	C13-14-3	Hs	0.103
0	14	12	(48)	Obese GSE126848	GSE126848	0.27	GSE126848	C13	Hs	0.0357
1	14	12	(137,153)	Obese GSE126848	GSE126848	0.61	GSE126848	C14-3	Hs	0.293
2	14	12	(48,137,153)	Obese GSE126848	GSE126848	0.59	GSE126848	C13-14-3	Hs	0.405
0	15	15	(48)	Smoker GSE2125	GSE2125	0.75	GSE2125	C13	Hs	0.029
1	15	15	(137,153)	Smoker GSE2125	GSE2125	0.66	GSE2125	C14-3	Hs	0.114
2	15	15	(48,137,153)	Smoker GSE2125	GSE2125	0.73	GSE2125	C13-14-3	Hs	0.0417
0	39	49	(48)	Smoker GSE2125 GSE13896	GSE2125	0.67	GSE2125	C13	Hs	0.00942
