name	pValue	fdr
MET interacts with TNS proteins	0.0109663534511	0.210879844085
Defective CYP11A1 causes Adrenal insufficiency, congenital, with 46,XY sex reversal (AICSR)	0.0196555542923	0.210879844085
TRIF-mediated programmed cell death	0.0218162841546	0.210879844085
Electron transport from NADPH to Ferredoxin	0.0218162841546	0.210879844085
Ca2+ activated K+ channels	0.0218162841546	0.210879844085
Defective EXT2 causes exostoses 2	0.0346842049912	0.210879844085
Defective EXT1 causes exostoses 1, TRPS2 and CHDS	0.0346842049912	0.210879844085
MyD88 deficiency (TLR2/4)	0.0389369927674	0.210879844085
IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation	0.0389369927674	0.210879844085
TRAF6-mediated induction of TAK1 complex within TLR4 complex	0.0410565816367	0.210879844085
IRAK4 deficiency (TLR2/4)	0.0410565816367	0.210879844085
Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon	0.0431716463053	0.210879844085
Caspase activation via Death Receptors in the presence of ligand	0.0431716463053	0.210879844085
Defective B4GALT7 causes EDS, progeroid type	0.0452821961088	0.210879844085
Defective B3GAT3 causes JDSSDHD	0.0452821961088	0.210879844085
Defective B3GALT6 causes EDSP2 and SEMDJL1	0.0452821961088	0.210879844085
Ras activation upon Ca2+ influx through NMDA receptor	0.047388240364	0.210879844085
Regulation of FZD by ubiquitination	0.047388240364	0.210879844085
Synaptic adhesion-like molecules	0.0494897883693	0.210879844085
Cytosolic iron-sulfur cluster assembly	0.0494897883693	0.210879844085
IKK complex recruitment mediated by RIP1	0.0515868494046	0.210879844085
Pregnenolone biosynthesis	0.0536794327314	0.210879844085
Mitochondrial iron-sulfur cluster biogenesis	0.0557675475923	0.210879844085
PPARA activates gene expression	0.0562137038395	0.210879844085
Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)	0.0573589154861	0.210879844085
Unblocking of NMDA receptors, glutamate binding and activation	0.057851203212	0.210879844085
Negative regulation of NMDA receptor-mediated neuronal transmission	0.057851203212	0.210879844085
Reactions specific to the complex N-glycan synthesis pathway	0.0599304087966	0.210879844085
Ethanol oxidation	0.0599304087966	0.210879844085
