name	pValue	fdr
Translation	9.61313794123e-08	0.000142846157582
Metabolism of RNA	1.75486680076e-07	0.000142846157582
Processing of Capped Intron-Containing Pre-mRNA	1.10118055741e-06	0.000597941042671
Mitochondrial translation termination	1.01102493747e-05	0.00390429703431
Transport of Mature mRNAs Derived from Intronless Transcripts	1.6406466343e-05	0.00390429703431
snRNP Assembly	1.68288665272e-05	0.00390429703431
Metabolism of non-coding RNA	1.68288665272e-05	0.00390429703431
SUMOylation of SUMOylation proteins	2.11204153797e-05	0.00428744432208
Mitochondrial translation elongation	2.67215295991e-05	0.00461201605788
Transport of the SLBP Dependant Mature mRNA	2.84692349252e-05	0.00461201605788
Transport of Mature Transcript to Cytoplasm	3.39686281663e-05	0.00463855648287
Mitochondrial translation initiation	3.79630060504e-05	0.00463855648287
Mitochondrial translation	4.16763839557e-05	0.00463855648287
Transport of Mature mRNA Derived from an Intronless Transcript	4.29495970636e-05	0.00463855648287
NS1 Mediated Effects on Host Pathways	4.29495970636e-05	0.00463855648287
SUMOylation of ubiquitinylation proteins	6.58119836695e-05	0.00664701035062
Transport of the SLBP independent Mature mRNA	7.67050762535e-05	0.00728698224408
mRNA Splicing - Major Pathway	0.00010326094521	0.00921737218463
tRNA processing in the nucleus	0.000111304212806	0.00921737218463
Host Interactions with Influenza Factors	0.000115716532286	0.00921737218463
Transport of Mature mRNA derived from an Intron-Containing Transcript	0.000119706132268	0.00921737218463
Nuclear import of Rev protein	0.000131427316618	0.00972562142971
Synthesis of active ubiquitin: roles of E1 and E2 enzymes	0.000178641357405	0.0125048950184
Regulation of HSF1-mediated heat shock response	0.000222125623941	0.0146251945089
Transport of Ribonucleoproteins into the Host Nucleus	0.000225002992445	0.0146251945089
G1/S Transition	0.000259103056472	0.0160643895013
mRNA Splicing	0.000330561176256	0.0194868438914
Regulation of Glucokinase by Glucokinase Regulatory Protein	0.000335980067094	0.0194868438914
SUMOylation of DNA replication proteins	0.000349824483207	0.0195901710596
S Phase	0.000407611918878	0.021775827593
